epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,929.768,1.75192,1.7691,1.74288,0.19009,0.38667,0.16537,0.05153,2.58918,2.7019,2.69378,0.0011684,0.0011684,0.0011684
44,944.708,1.77572,1.85487,1.70429,0.24469,0.29372,0.17951,0.0495,2.54277,2.62395,2.64464,0.0011486,0.0011486,0.0011486
45,959.6,1.7159,1.6401,1.59452,0.24469,0.29372,0.17951,0.0495,2.54277,2.62395,2.64464,0.0011288,0.0011288,0.0011288
46,974.536,1.77343,1.8711,1.68468,0.29576,0.30667,0.17313,0.04089,2.65438,2.69283,2.75339,0.001109,0.001109,0.001109
47,989.342,1.64987,1.66295,1.6273,0.38307,0.25333,0.19736,0.04882,2.71367,2.71086,2.92126,0.0010892,0.0010892,0.0010892
48,1004.35,1.76005,1.69831,1.68477,0.22866,0.37333,0.19351,0.04434,2.72744,2.65215,3.03632,0.0010694,0.0010694,0.0010694
49,1019.57,1.66839,1.62015,1.6098,0.22866,0.37333,0.19351,0.04434,2.72744,2.65215,3.03632,0.0010496,0.0010496,0.0010496
50,1040.79,1.54133,1.55015,1.58081,0.36578,0.25333,0.21025,0.05336,2.65715,2.71499,2.88646,0.0010298,0.0010298,0.0010298
51,1061.91,1.67329,1.64373,1.67728,0.33164,0.29777,0.20827,0.05099,2.61131,2.65897,2.79922,0.00101,0.00101,0.00101
52,1082.31,1.59611,1.50855,1.5658,0.23205,0.41333,0.20736,0.04992,2.63028,2.72369,2.83965,0.0009902,0.0009902,0.0009902
53,1102.15,1.67175,1.51208,1.55886,0.23205,0.41333,0.20736,0.04992,2.63028,2.72369,2.83965,0.0009704,0.0009704,0.0009704
54,1122,1.72946,1.52609,1.61683,0.30434,0.28,0.20606,0.05592,2.61648,2.69656,2.80993,0.0009506,0.0009506,0.0009506
55,1142.48,1.72179,1.55151,1.6043,0.30764,0.33333,0.22262,0.06068,2.56149,2.62781,2.69909,0.0009308,0.0009308,0.0009308
56,1162.33,1.56568,1.52104,1.5464,0.27359,0.41333,0.21675,0.05475,2.61299,2.46576,2.69217,0.000911,0.000911,0.000911
57,1182.43,1.53351,1.44937,1.48922,0.27359,0.41333,0.21675,0.05475,2.61299,2.46576,2.69217,0.0008912,0.0008912,0.0008912
58,1202.77,1.596,1.45364,1.51523,0.32323,0.42667,0.21603,0.05371,2.62308,2.40323,2.64745,0.0008714,0.0008714,0.0008714
59,1223.49,1.59539,1.39282,1.51836,0.20155,0.30667,0.13475,0.04041,2.64413,2.49338,2.61177,0.0008516,0.0008516,0.0008516
60,1243.09,1.49993,1.32248,1.45417,0.23899,0.33333,0.13845,0.0403,2.6274,2.54453,2.66178,0.0008318,0.0008318,0.0008318
61,1262.47,1.4345,1.29772,1.46687,0.23899,0.33333,0.13845,0.0403,2.6274,2.54453,2.66178,0.000812,0.000812,0.000812
62,1281.83,1.52512,1.36494,1.48603,0.37903,0.28,0.21925,0.05446,2.64986,2.3868,2.7516,0.0007922,0.0007922,0.0007922
63,1301.62,1.5748,1.31988,1.46433,0.39146,0.25333,0.18332,0.04982,2.65973,2.3764,2.7466,0.0007724,0.0007724,0.0007724
64,1321.46,1.48949,1.31754,1.50581,0.35478,0.24,0.18284,0.04407,2.67315,2.44807,2.71971,0.0007526,0.0007526,0.0007526
65,1340.62,1.42742,1.32312,1.46642,0.35478,0.24,0.18284,0.04407,2.67315,2.44807,2.71971,0.0007328,0.0007328,0.0007328
66,1359.69,1.45615,1.40537,1.48384,0.27567,0.28,0.15666,0.04212,2.6542,2.51815,2.62427,0.000713,0.000713,0.000713
67,1379.29,1.46387,1.26643,1.45861,0.26177,0.24,0.1345,0.03385,2.74085,2.56314,2.65698,0.0006932,0.0006932,0.0006932
68,1399.12,1.45597,1.26038,1.44788,0.33695,0.25333,0.15144,0.04157,2.72401,2.51981,2.63227,0.0006734,0.0006734,0.0006734
69,1418.66,1.23688,1.24483,1.39901,0.33695,0.25333,0.15144,0.04157,2.72401,2.51981,2.63227,0.0006536,0.0006536,0.0006536
70,1437.97,1.44795,1.24644,1.34274,0.36104,0.25333,0.17692,0.0417,2.73182,2.49159,2.68133,0.0006338,0.0006338,0.0006338
71,1457.29,1.42534,1.26507,1.394,0.42631,0.29333,0.23038,0.04915,2.72473,2.48505,2.68308,0.000614,0.000614,0.000614
72,1476.83,1.32763,1.18355,1.34214,0.3784,0.28,0.20987,0.04573,2.74211,2.46752,2.72867,0.0005942,0.0005942,0.0005942
73,1495.94,1.33082,1.18829,1.37287,0.3784,0.28,0.20987,0.04573,2.74211,2.46752,2.72867,0.0005744,0.0005744,0.0005744
74,1515.51,1.35795,1.20766,1.41021,0.36366,0.28,0.22226,0.0514,2.6956,2.48241,2.72474,0.0005546,0.0005546,0.0005546
75,1534.52,1.25908,1.1285,1.31811,0.25449,0.29333,0.19658,0.04903,2.73388,2.48246,2.765,0.0005348,0.0005348,0.0005348
76,1553.55,1.20448,1.12455,1.33434,0.32461,0.39094,0.21933,0.05005,2.74858,2.37726,2.79478,0.000515,0.000515,0.000515
77,1572.72,1.36981,1.17415,1.39934,0.32461,0.39094,0.21933,0.05005,2.74858,2.37726,2.79478,0.0004952,0.0004952,0.0004952
78,1591.88,1.26394,1.11448,1.30655,0.29782,0.37893,0.19881,0.05111,2.80531,2.33587,2.87912,0.0004754,0.0004754,0.0004754
79,1610.92,1.21063,1.10069,1.28777,0.26115,0.38667,0.18979,0.05294,2.85984,2.38235,2.96075,0.0004556,0.0004556,0.0004556
80,1630.52,1.25508,1.06873,1.3266,0.29609,0.30667,0.17755,0.04858,2.8587,2.40906,2.99339,0.0004358,0.0004358,0.0004358
81,1649.96,1.26794,1.08658,1.29835,0.29609,0.30667,0.17755,0.04858,2.8587,2.40906,2.99339,0.000416,0.000416,0.000416
82,1669.74,1.31625,1.10273,1.32268,0.34071,0.29333,0.17401,0.0491,2.86603,2.41007,3.07539,0.0003962,0.0003962,0.0003962
83,1689.47,1.29209,1.06842,1.31669,0.36248,0.28,0.19295,0.04953,2.83342,2.44942,3.04965,0.0003764,0.0003764,0.0003764
84,1709.31,1.18129,1.01611,1.2724,0.31102,0.32,0.19418,0.04956,2.83337,2.44343,3.09497,0.0003566,0.0003566,0.0003566
85,1728.73,1.19482,1.05579,1.31571,0.31102,0.32,0.19418,0.04956,2.83337,2.44343,3.09497,0.0003368,0.0003368,0.0003368
