epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,184.817,2.16437,2.2913,2.21705,0.12317,0.26667,0.07434,0.01675,2.83178,23.9248,4.00682,0.001703,0.001703,0.001703
47,188.404,2.12608,2.24505,2.24034,0.06086,0.16,0.03565,0.0068,3.08034,14.5616,3.64353,0.0016964,0.0016964,0.0016964
48,191.45,2.10962,2.22617,2.17021,0.1003,0.14667,0.05811,0.0112,3.00499,14.2045,3.42366,0.0016898,0.0016898,0.0016898
49,194.384,2.15083,2.15969,2.03245,0.1003,0.14667,0.05811,0.0112,3.00499,14.2045,3.42366,0.0016832,0.0016832,0.0016832
50,200.465,2.13938,2.28935,2.14395,0.01548,0.26667,0.00968,0.00242,3.05842,18.4577,3.30566,0.0016766,0.0016766,0.0016766
51,204.047,2.11298,2.32497,2.23972,0.01749,0.33333,0.00996,0.00283,2.88816,12.7319,3.15397,0.00167,0.00167,0.00167
52,207.056,2.10552,2.32279,2.19153,0.0281,0.29333,0.01481,0.00407,3.02035,4.27766,3.28022,0.0016634,0.0016634,0.0016634
53,210.011,2.18908,2.26061,2.13836,0.0281,0.29333,0.01481,0.00407,3.02035,4.27766,3.28022,0.0016568,0.0016568,0.0016568
54,216.639,2.1467,2.18646,2.09561,0.08329,0.21333,0.03269,0.00642,3.2418,3.50116,3.35841,0.0016502,0.0016502,0.0016502
55,219.626,2.14531,2.16617,2.11742,0.0725,0.26667,0.03728,0.00693,3.19605,3.87317,3.53367,0.0016436,0.0016436,0.0016436
56,222.615,2.10751,2.16919,2.13372,0.06838,0.17333,0.03336,0.00803,3.12387,5.30738,3.60277,0.001637,0.001637,0.001637
57,225.551,2.05226,2.13513,2.09551,0.06838,0.17333,0.03336,0.00803,3.12387,5.30738,3.60277,0.0016304,0.0016304,0.0016304
58,230.256,2.06088,2.11042,2.12009,0.05552,0.25333,0.03478,0.00834,3.15098,6.31865,3.45866,0.0016238,0.0016238,0.0016238
59,233.229,2.17817,2.12073,2.11349,0.04141,0.10667,0.01862,0.00425,3.21146,5.31078,3.46796,0.0016172,0.0016172,0.0016172
60,236.224,2.22591,2.09191,2.1179,0.06333,0.08,0.01495,0.0039,3.27334,4.9251,3.7166,0.0016106,0.0016106,0.0016106
61,239.273,2.13784,2.0941,2.14105,0.06333,0.08,0.01495,0.0039,3.27334,4.9251,3.7166,0.001604,0.001604,0.001604
62,242.836,2.14045,2.0302,2.11022,0.09723,0.06667,0.0459,0.01399,3.35349,4.16811,3.74003,0.0015974,0.0015974,0.0015974
