epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
87,366.658,0,1,1,1e-05,0.000247716,0.000247716,0.000247716
88,369.663,1e-05,1,1,0,0.000231213,0.000231213,0.000231213
89,372.219,1e-05,1,1,0,0.00021471,0.00021471,0.00021471
90,375.141,1e-05,1,1,0,0.000198206,0.000198206,0.000198206
91,378.171,0,1,1,0,0.000181703,0.000181703,0.000181703
92,381.318,1e-05,1,1,0,0.0001652,0.0001652,0.0001652
93,384.389,1e-05,1,1,0,0.000148696,0.000148696,0.000148696
94,387.463,0,1,1,0,0.000132193,0.000132193,0.000132193
95,390.528,2e-05,1,1,0,0.00011569,0.00011569,0.00011569
96,393.624,1e-05,1,1,0,9.91865e-05,9.91865e-05,9.91865e-05
97,396.764,0,1,1,0,8.26832e-05,8.26832e-05,8.26832e-05
98,399.779,1e-05,1,1,0,6.61799e-05,6.61799e-05,6.61799e-05
99,402.996,1e-05,1,1,0,4.96766e-05,4.96766e-05,4.96766e-05
100,406.166,1e-05,1,1,0,3.31733e-05,3.31733e-05,3.31733e-05
